Class code,Class,Sample,Session.Sample,R,G,B
1,LL,1,3.1,0.112768682,0.052133301,0.046745641
1,LL,2,3.2,0.088689664,0.042824928,0.045622554
2,G,3,3.3,0.042821409,0.025642882,0.033754693
3,W,4,3.4,0.131062206,0.055752972,0.053618688
2,G,5,3.5,0.0468738,0.025117848,0.033090112
3,W,6,3.6,0.067254415,0.035840939,0.04108424
3,W,7,3.7,0.005241307,0.00164944,0.015630839
3,W,8,3.8,0.02284464,0.013617573,0.021060372
1,LL,9,3.9,0.09928742,0.043614293,0.044016043
2,G,10,3.10,0.020612468,0.012861385,0.020719879
3,W,11,3.11,0.132634409,0.069014523,0.062743445
2,G,12,3.12,0.029038684,0.015590809,0.023050057
2,G,13,3.13,0.050239058,0.027949311,0.032402761
2,G,14,3.14,0.007027326,0.005419256,0.016409398
1,LL,15,3.15,0.140975021,0.086350609,0.070836975
3,W,16,3.16,0.018724159,0.007274862,0.016836226
1,LL,17,3.17,0.037032512,0.020824952,0.022206485
2,G,18,3.18,0.102959637,0.083447238,0.065445271
2,G,19,3.19,0.057352764,0.029797247,0.032988321
2,G,20,3.20,0.397635109,0.173717229,0.108215301
3,W,21,3.21,0.667561619,0.432124433,0.307731869
1,LL,22,3.22,0.106270966,0.040369507,0.036868129
3,W,23,3.23,0.266010972,0.123625888,0.099235026
2,G,24,3.24,0.05453906,0.028382631,0.035517159
2,G,25,3.25,0.067649972,0.041420457,0.049557173
3,W,26,3.26,0.013410965,0.002964167,0.015864971
2,G,27,3.27,0.071818822,0.056688828,0.060714852
3,W,28,3.28,0.19113414,0.056775544,0.053704123
3,W,29,3.29,0.400973947,0.22663535,0.166832597
1,LL,30,3.30,0.225780792,0.062981747,0.053061721
1,LL,31,3.31,0.059708781,0.02702572,0.030076783
4,BP,34,3.34,0.326523094,0.257641554,0.201942947
6,AP,35,3.35,0.131788952,0.060732344,0.053417374
4,BP,36,3.36,0.174012226,0.162516219,0.115958298
4,BP,37,3.37,0.166489554,0.11515447,0.090716087
5,MP,38,3.38,0.290162609,0.149387805,0.116649604
7,RP,39,3.39,0.072703908,0.03873126,0.040981195
